"id","click_type","creation_date"
2,BUCKET,2023-02-10 13:41:09.900
3,BUCKET,2023-02-10 13:41:10.113
4,BUCKET,2023-02-10 13:41:10.126
5,BUCKET,2023-02-10 13:41:10.123
6,BUCKET,2023-02-10 13:41:10.110
7,BUCKET,2023-02-10 13:41:10.118
8,BUCKET,2023-02-10 13:41:10.114
10,BUCKET,2023-02-10 13:41:10.125
9,BUCKET,2023-02-10 13:41:10.146
12,BUCKET,2023-02-10 13:41:10.160
11,BUCKET,2023-02-10 13:41:10.169
13,BUCKET,2023-02-10 13:41:10.201
14,BUCKET,2023-02-10 13:41:10.207
15,BUCKET,2023-02-10 13:41:10.249
16,BUCKET,2023-02-10 13:41:10.257
17,BUCKET,2023-02-10 13:41:10.219
18,BUCKET,2023-02-10 13:41:10.284
19,BUCKET,2023-02-10 13:41:10.255
21,BUCKET,2023-02-10 13:41:10.263
22,BUCKET,2023-02-10 13:41:10.285
20,BUCKET,2023-02-10 13:41:10.284
23,BUCKET,2023-02-10 13:41:10.344
24,BUCKET,2023-02-10 13:41:10.328
25,BUCKET,2023-02-10 13:41:10.324
27,BUCKET,2023-02-10 13:41:10.393
29,BUCKET,2023-02-10 13:41:10.373
28,BUCKET,2023-02-10 13:41:10.371
30,BUCKET,2023-02-10 13:41:10.408
31,BUCKET,2023-02-10 13:41:10.395
26,BUCKET,2023-02-10 13:41:10.401
32,BUCKET,2023-02-10 13:41:10.424
34,BUCKET,2023-02-10 13:41:10.393
35,BUCKET,2023-02-10 13:41:10.454
33,BUCKET,2023-02-10 13:41:10.423
36,BUCKET,2023-02-10 13:41:10.509
37,BUCKET,2023-02-10 13:41:10.466
38,BUCKET,2023-02-10 13:41:10.454
39,BUCKET,2023-02-10 13:41:10.518
40,BUCKET,2023-02-10 13:41:10.522
41,BUCKET,2023-02-10 13:41:10.589
42,BUCKET,2023-02-10 13:41:10.569
43,BUCKET,2023-02-10 13:41:10.564
44,BUCKET,2023-02-10 13:41:10.588
45,BUCKET,2023-02-10 13:41:10.569
46,BUCKET,2023-02-10 13:41:10.621
47,BUCKET,2023-02-10 13:41:10.624
48,BUCKET,2023-02-10 13:41:10.602
49,BUCKET,2023-02-10 13:41:10.587
50,BUCKET,2023-02-10 13:41:10.579
51,BUCKET,2023-02-10 13:41:10.627
52,BUCKET,2023-02-10 13:41:10.671
53,BUCKET,2023-02-10 13:41:10.687
54,BUCKET,2023-02-10 13:41:10.683
55,BUCKET,2023-02-10 13:41:10.679
56,BUCKET,2023-02-10 13:41:10.682
57,BUCKET,2023-02-10 13:41:10.684
58,BUCKET,2023-02-10 13:41:10.727
59,BUCKET,2023-02-10 13:41:10.763
61,BUCKET,2023-02-10 13:41:10.750
62,BUCKET,2023-02-10 13:41:10.741
63,BUCKET,2023-02-10 13:41:10.786
64,BUCKET,2023-02-10 13:41:10.798
65,BUCKET,2023-02-10 13:41:10.743
60,BUCKET,2023-02-10 13:41:10.765
66,BUCKET,2023-02-10 13:41:10.755
67,BUCKET,2023-02-10 13:41:10.788
69,BUCKET,2023-02-10 13:41:10.868
70,BUCKET,2023-02-10 13:41:10.865
68,BUCKET,2023-02-10 13:41:10.809
71,BUCKET,2023-02-10 13:41:10.883
72,BUCKET,2023-02-10 13:41:10.879
73,BUCKET,2023-02-10 13:41:10.901
75,BUCKET,2023-02-10 13:41:10.887
76,BUCKET,2023-02-10 13:41:10.916
77,BUCKET,2023-02-10 13:41:10.905
78,BUCKET,2023-02-10 13:41:10.917
79,BUCKET,2023-02-10 13:41:10.912
74,BUCKET,2023-02-10 13:41:10.910
80,BUCKET,2023-02-10 13:41:10.923
81,BUCKET,2023-02-10 13:41:10.998
82,BUCKET,2023-02-10 13:41:11.024
83,BUCKET,2023-02-10 13:41:10.986
84,BUCKET,2023-02-10 13:41:10.987
85,BUCKET,2023-02-10 13:41:11.013
86,BUCKET,2023-02-10 13:41:10.983
87,BUCKET,2023-02-10 13:41:11.050
88,BUCKET,2023-02-10 13:41:11.054
89,BUCKET,2023-02-10 13:41:11.029
90,BUCKET,2023-02-10 13:41:11.090
91,BUCKET,2023-02-10 13:41:11.057
92,BUCKET,2023-02-10 13:41:11.050
93,BUCKET,2023-02-10 13:41:11.092
94,BUCKET,2023-02-10 13:41:11.104
95,BUCKET,2023-02-10 13:41:11.108
96,BUCKET,2023-02-10 13:41:11.109
97,BUCKET,2023-02-10 13:41:11.160
99,BUCKET,2023-02-10 13:41:11.166
101,BUCKET,2023-02-10 13:41:11.212
100,BUCKET,2023-02-10 13:41:11.154
102,BUCKET,2023-02-10 13:41:11.169
98,BUCKET,2023-02-10 13:41:11.141
103,BUCKET,2023-02-10 13:41:11.177
104,BUCKET,2023-02-10 13:41:11.208
105,BUCKET,2023-02-10 13:41:11.208
106,BUCKET,2023-02-10 13:41:11.232
107,BUCKET,2023-02-10 13:41:11.243
108,BUCKET,2023-02-10 13:41:11.259
110,BUCKET,2023-02-10 13:41:11.262
111,BUCKET,2023-02-10 13:41:11.282
112,BUCKET,2023-02-10 13:41:11.281
113,BUCKET,2023-02-10 13:41:11.294
114,BUCKET,2023-02-10 13:41:11.338
109,BUCKET,2023-02-10 13:41:11.314
115,BUCKET,2023-02-10 13:41:11.324
116,BUCKET,2023-02-10 13:41:11.354
117,BUCKET,2023-02-10 13:41:11.344
118,BUCKET,2023-02-10 13:41:11.349
119,BUCKET,2023-02-10 13:41:11.415
120,BUCKET,2023-02-10 13:41:11.402
121,BUCKET,2023-02-10 13:41:11.401
122,BUCKET,2023-02-10 13:41:11.428
123,BUCKET,2023-02-10 13:41:11.407
124,BUCKET,2023-02-10 13:41:11.437
125,BUCKET,2023-02-10 13:41:11.468
126,BUCKET,2023-02-10 13:41:11.454
127,BUCKET,2023-02-10 13:41:11.449
128,BUCKET,2023-02-10 13:41:11.492
129,BUCKET,2023-02-10 13:41:11.497
130,BUCKET,2023-02-10 13:41:11.517
131,BUCKET,2023-02-10 13:41:11.519
132,BUCKET,2023-02-10 13:41:11.458
133,BUCKET,2023-02-10 13:41:11.522
134,BUCKET,2023-02-10 13:41:11.568
135,BUCKET,2023-02-10 13:41:11.580
136,BUCKET,2023-02-10 13:41:11.525
137,BUCKET,2023-02-10 13:41:11.538
138,BUCKET,2023-02-10 13:41:11.549
139,BUCKET,2023-02-10 13:41:11.604
140,BUCKET,2023-02-10 13:41:11.640
141,BUCKET,2023-02-10 13:41:11.662
142,BUCKET,2023-02-10 13:41:11.678
144,BUCKET,2023-02-10 13:41:11.621
143,BUCKET,2023-02-10 13:41:11.627
146,BUCKET,2023-02-10 13:41:11.629
147,BUCKET,2023-02-10 13:41:11.640
148,BUCKET,2023-02-10 13:41:11.693
145,BUCKET,2023-02-10 13:41:11.687
149,BUCKET,2023-02-10 13:41:11.707
150,BUCKET,2023-02-10 13:41:11.751
151,BUCKET,2023-02-10 13:41:11.746
152,BUCKET,2023-02-10 13:41:11.719
153,BUCKET,2023-02-10 13:41:11.728
154,BUCKET,2023-02-10 13:41:11.744
155,BUCKET,2023-02-10 13:41:11.795
157,BUCKET,2023-02-10 13:41:11.834
159,BUCKET,2023-02-10 13:41:11.781
160,BUCKET,2023-02-10 13:41:11.770
164,BUCKET,2023-02-10 13:41:11.884
163,BUCKET,2023-02-10 13:41:11.826
161,BUCKET,2023-02-10 13:41:11.843
1002,BUCKET,2023-02-10 13:41:46.148
1050,BUCKET,2023-02-10 13:41:46.806
1090,BUCKET,2023-02-10 13:41:47.224
1133,BUCKET,2023-02-10 13:41:47.716
1177,BUCKET,2023-02-10 13:41:48.090
1222,BUCKET,2023-02-10 13:41:48.605
1262,BUCKET,2023-02-10 13:41:48.999
1305,BUCKET,2023-02-10 13:41:49.439
1349,BUCKET,2023-02-10 13:41:49.873
1391,BUCKET,2023-02-10 13:41:50.311
1435,BUCKET,2023-02-10 13:41:50.808
1478,BUCKET,2023-02-10 13:41:51.229
1520,BUCKET,2023-02-10 13:41:51.689
1562,BUCKET,2023-02-10 13:41:52.128
1607,BUCKET,2023-02-10 13:41:52.579
1650,BUCKET,2023-02-10 13:41:52.995
1690,BUCKET,2023-02-10 13:41:53.440
1735,BUCKET,2023-02-10 13:41:53.923
1780,BUCKET,2023-02-10 13:41:54.377
1822,BUCKET,2023-02-10 13:41:54.804
1867,BUCKET,2023-02-10 13:41:55.241
1908,BUCKET,2023-02-10 13:41:55.672
1949,BUCKET,2023-02-10 13:41:56.129
1994,BUCKET,2023-02-10 13:41:56.573
2037,HOME,2023-02-10 13:42:01.508
2080,HOME,2023-02-10 13:42:01.945
2123,HOME,2023-02-10 13:42:02.463
2169,HOME,2023-02-10 13:42:02.886
2212,HOME,2023-02-10 13:42:03.339
2257,HOME,2023-02-10 13:42:03.785
2301,HOME,2023-02-10 13:42:04.309
2340,HOME,2023-02-10 13:42:04.691
2384,HOME,2023-02-10 13:42:05.153
2427,HOME,2023-02-10 13:42:05.558
2470,HOME,2023-02-10 13:42:06.058
2514,HOME,2023-02-10 13:42:06.495
2557,HOME,2023-02-10 13:42:06.962
2559,HOME,2023-02-10 13:42:07.004
2603,HOME,2023-02-10 13:42:07.375
2646,HOME,2023-02-10 13:42:07.906
2686,HOME,2023-02-10 13:42:08.298
2733,HOME,2023-02-10 13:42:08.813
2778,HOME,2023-02-10 13:42:09.229
2818,HOME,2023-02-10 13:42:09.706
2861,HOME,2023-02-10 13:42:10.094
2904,HOME,2023-02-10 13:42:10.604
2947,HOME,2023-02-10 13:42:11.051
2991,HOME,2023-02-10 13:42:11.412
1,BUCKET,2023-02-09 13:30:43.273
162,BUCKET,2023-02-10 13:41:11.855
1003,BUCKET,2023-02-10 13:41:46.387
1051,BUCKET,2023-02-10 13:41:46.804
1091,BUCKET,2023-02-10 13:41:47.232
1134,BUCKET,2023-02-10 13:41:47.656
1176,BUCKET,2023-02-10 13:41:48.092
1224,BUCKET,2023-02-10 13:41:48.578
1263,BUCKET,2023-02-10 13:41:49.010
1307,BUCKET,2023-02-10 13:41:49.484
1348,BUCKET,2023-02-10 13:41:49.863
1395,BUCKET,2023-02-10 13:41:50.355
1436,BUCKET,2023-02-10 13:41:50.809
1475,BUCKET,2023-02-10 13:41:51.216
1521,BUCKET,2023-02-10 13:41:51.677
1563,BUCKET,2023-02-10 13:41:52.146
1608,BUCKET,2023-02-10 13:41:52.579
1651,BUCKET,2023-02-10 13:41:52.979
1693,BUCKET,2023-02-10 13:41:53.469
1736,BUCKET,2023-02-10 13:41:53.927
1781,BUCKET,2023-02-10 13:41:54.431
1823,BUCKET,2023-02-10 13:41:54.808
1865,BUCKET,2023-02-10 13:41:55.260
1909,BUCKET,2023-02-10 13:41:55.729
1952,BUCKET,2023-02-10 13:41:56.152
1995,BUCKET,2023-02-10 13:41:56.553
2038,HOME,2023-02-10 13:42:01.494
2081,HOME,2023-02-10 13:42:01.965
2127,HOME,2023-02-10 13:42:02.479
2170,HOME,2023-02-10 13:42:02.899
2213,HOME,2023-02-10 13:42:03.355
2258,HOME,2023-02-10 13:42:03.780
2296,HOME,2023-02-10 13:42:04.213
2344,HOME,2023-02-10 13:42:04.757
2385,HOME,2023-02-10 13:42:05.131
2428,HOME,2023-02-10 13:42:05.565
2471,HOME,2023-02-10 13:42:06.031
2515,HOME,2023-02-10 13:42:06.497
2558,HOME,2023-02-10 13:42:06.915
2560,HOME,2023-02-10 13:42:07.004
2604,HOME,2023-02-10 13:42:07.410
2647,HOME,2023-02-10 13:42:07.873
2691,HOME,2023-02-10 13:42:08.357
2734,HOME,2023-02-10 13:42:08.814
2780,HOME,2023-02-10 13:42:09.270
2819,HOME,2023-02-10 13:42:09.717
2862,HOME,2023-02-10 13:42:10.087
2905,HOME,2023-02-10 13:42:10.583
2948,HOME,2023-02-10 13:42:11.045
2992,HOME,2023-02-10 13:42:11.415
158,BUCKET,2023-02-10 13:41:11.781
204,BUCKET,2023-02-10 13:41:12.327
244,BUCKET,2023-02-10 13:41:12.806
283,BUCKET,2023-02-10 13:41:13.210
325,BUCKET,2023-02-10 13:41:13.639
366,BUCKET,2023-02-10 13:41:14.076
406,BUCKET,2023-02-10 13:41:14.510
445,BUCKET,2023-02-10 13:41:14.900
486,BUCKET,2023-02-10 13:41:15.328
524,BUCKET,2023-02-10 13:41:15.782
564,BUCKET,2023-02-10 13:41:16.169
603,BUCKET,2023-02-10 13:41:16.569
646,BUCKET,2023-02-10 13:41:17.036
684,BUCKET,2023-02-10 13:41:17.478
723,BUCKET,2023-02-10 13:41:17.902
764,BUCKET,2023-02-10 13:41:18.282
804,BUCKET,2023-02-10 13:41:18.699
